Code;Species;TolS
ABIBAL;Abies balsamea;5
ACENEG;Acer negundo;3.5
ACENIG;Acer nigrum;3
ACEPEN;Acer pensylvanicum;3.5
ACERUB;Acer rubrum;3.4
ACERIN;Acer saccharinum;3.6
ACESAC;Acer saccharum;4.8
ACESPI;Acer spicatum;3.3
ALNCRI;Alnus crispa;1.5
ALNRUG;Alnus incana;1
AMESP;Amelanchier sp.;3.4
BETALL;Betula alleghaniensis;3.2
BETPAP;Betula papyrifera;1.5
BETPOP;Betula populifolia;1.5
CARCAR;Carpinus caroliniana;4.6
CARCOR;Carya cordiformis;2.1
CAROVA;Carya cordiformis;3.4
CELOCC;Celtis occidentalis;3.17
CRASP;Crataegus sp.;2.1
FAGGRA;Fagus grandifolia;4.8
FRAAME;Fraxinus americana;2.5
FRANIG;Fraxinus nigra;3
FRAPEN;Fraxinus pennsylvanica;3.1
JUGCIN;Juglans cinerea;1.9
LARLAR;Larix laricina;1
MALSP;Malus sp.;2.2
OSTVIR;Ostrya virginiana;4.6
PICABI;Picea abies;4.5
PICGLA;Picea glauca;4.2
PICMAR;Picea mariana;4.1
PICRUB;Picea rubens;4.4
PINBAN;Pinus banksiana;1.4
PINRES;Pinus resinosa;1.9
PINRIG;Pinus rigida;1.99
PINSTR;Pinus strobus;3.2
PINSYL;Pinus sylvestris;1.67
POPBAL;Populus balsamifera;1.3
POPDEL;Populus deltoides;1.8
POPGRA;Populus grandidentata;1.2
POPTRE;Populus tremuloides;1.2
PRUPEN;Prunus pensylvanica;1
PRUSER;Prunus serotina;2.5
PRUVIR;Prunus virginiana;2.6
QUEALB;Quercus alba;2.9
QUEBIC;Quercus bicolor;3
QUEMAC;Quercus macrocarpa;2.7
QUERUB;Quercus rubra;2.8
SALSP;Salix sp.;1.5
SORSP;Sorbus sp.;2.6
THUOCC;Thuja occidentalis;3.5
TILAME;Tilia americana;4
TSUCAN;Tsuga canadensis;4.8
ULMAME;Ulmus americana;3.1
ULMRUB;Ulmus rubra;3.3
ULMTHO;Ulmus thomasii;3.2
